ID,X,Y,Request.time,Types,Membership,lower,upper
1,4.91,182.27,0,depot,0,0,200
2,125.25,52.14,0,depot,0,0,200
3,18.81,195.96,478.04,customer,1,0,200
4,10.71,200,601.04,customer,1,0,200
5,0,195.75,355.1,customer,1,0,200
6,4.44,173.39,120.53,customer,1,0,200
7,17.21,200,372.57,customer,1,0,200
8,16.61,175.49,762.88,customer,1,0,200
9,0,200,475.32,customer,1,0,200
10,9.61,193.32,642.47,customer,1,0,200
11,0.4,199.06,0,customer,1,0,200
12,0,190.6,100.19,customer,1,0,200
13,0,149.49,0,customer,1,0,200
14,0,184.09,398.15,customer,1,0,200
15,16.67,158.96,0,customer,1,0,200
16,0,200,316.1,customer,1,0,200
17,0,189,456.57,customer,1,0,200
18,0,178.3,529.47,customer,1,0,200
19,6.08,182.42,564.91,customer,1,0,200
20,2.35,176.02,276.41,customer,1,0,200
21,0,200,314.48,customer,1,0,200
22,28.75,167.61,694.34,customer,1,0,200
23,2.68,200,329.45,customer,1,0,200
24,18.2,199.27,549.49,customer,1,0,200
25,0,200,85.82,customer,1,0,200
26,0,192.31,182.79,customer,1,0,200
27,6.79,176.9,258.06,customer,1,0,200
28,0,169.07,0,customer,1,0,200
29,26.52,183.46,0,customer,1,0,200
30,8.36,185.06,489.35,customer,1,0,200
31,0,167.17,16.02,customer,1,0,200
32,8.29,154.4,291.79,customer,1,0,200
33,0,167.94,0,customer,1,0,200
34,0,183.7,0,customer,1,0,200
35,26.19,162.1,0,customer,1,0,200
36,10.69,194.25,0,customer,1,0,200
37,0,181.57,635.68,customer,1,0,200
38,15.88,178.87,307.2,customer,1,0,200
39,1.98,186.37,175.33,customer,1,0,200
40,4.11,174.87,622.34,customer,1,0,200
41,3.07,200,722.82,customer,1,0,200
42,16.55,170.1,0,customer,1,0,200
43,0,177.48,667.42,customer,1,0,200
44,22.6,186.17,544.83,customer,1,0,200
45,0,194.02,560.13,customer,1,0,200
46,3.14,167.35,699.75,customer,1,0,200
47,11.05,200,99.72,customer,1,0,200
48,10.7,184.83,169.87,customer,1,0,200
49,0,189.84,82.49,customer,1,0,200
50,0,160.26,222.89,customer,1,0,200
51,4.34,181.81,248.87,customer,1,0,200
52,156.74,35.95,271.16,customer,2,0,200
53,127.52,62.86,689.53,customer,2,0,200
54,139.24,52,160.94,customer,2,0,200
55,115.35,51.27,169.26,customer,2,0,200
56,151.07,58.57,776.26,customer,2,0,200
57,98.03,71.1,0,customer,2,0,200
58,132.45,51.7,0,customer,2,0,200
59,125.01,50.15,42.79,customer,2,0,200
60,128.67,45.44,437.94,customer,2,0,200
61,128.94,39.75,489.64,customer,2,0,200
62,127.91,66.88,504.71,customer,2,0,200
63,132.03,65.91,231.64,customer,2,0,200
64,110.73,52.87,0,customer,2,0,200
65,133.47,37.93,0,customer,2,0,200
66,146.1,38.37,489.9,customer,2,0,200
67,127.44,54.17,582.84,customer,2,0,200
68,126.87,49.34,0,customer,2,0,200
69,131.24,38.42,140.91,customer,2,0,200
70,108.08,43.43,473.98,customer,2,0,200
71,124.49,68.88,53.42,customer,2,0,200
72,146.38,56.4,141.59,customer,2,0,200
73,130.33,48.9,104.27,customer,2,0,200
74,125.89,33.45,310.42,customer,2,0,200
75,129.11,45.02,674.35,customer,2,0,200
76,129.71,47.54,180.48,customer,2,0,200
77,116.44,49.23,448.72,customer,2,0,200
78,120.37,66.72,453.93,customer,2,0,200
79,128.03,57.9,711.22,customer,2,0,200
80,108.73,72.07,287.08,customer,2,0,200
81,127.37,40.75,0,customer,2,0,200
82,129.36,63.73,0,customer,2,0,200
83,106.83,74.65,0,customer,2,0,200
84,123.15,67.07,523.72,customer,2,0,200
85,126.21,47.72,770.43,customer,2,0,200
86,100.82,37.5,246.15,customer,2,0,200
87,124.7,63.17,0,customer,2,0,200
88,100.2,70.46,540.18,customer,2,0,200
89,143.87,36.92,746.23,customer,2,0,200
90,131.54,38.38,391.32,customer,2,0,200
91,123.58,64.51,0,customer,2,0,200
92,136.81,40.84,253.58,customer,2,0,200
93,120.1,39.15,630.68,customer,2,0,200
94,129.77,31.39,0,customer,2,0,200
95,90.25,71.71,0,customer,2,0,200
96,155.52,46.09,90.89,customer,2,0,200
97,135.38,52.05,740.91,customer,2,0,200
98,144.88,59.52,22.4,customer,2,0,200
99,127.96,28.19,0,customer,2,0,200
100,139.67,47.47,0,customer,2,0,200
