ID,X,Y,Request.time,Types,Membership,lower,upper
1,81.76,653.75,0,depot,0,0,800
2,642.92,15.28,0,depot,0,0,800
3,391.74,111.64,2255.08,customer,1,0,800
4,367.14,114.56,2941.56,customer,1,0,800
5,407.7,111.05,1190.65,customer,1,0,800
6,383.05,89.55,0,customer,1,0,800
7,362.64,98.13,461.66,customer,1,0,800
8,387.79,85.41,0,customer,1,0,800
9,363.1,91.93,1713.25,customer,1,0,800
10,365.19,97.63,585.18,customer,1,0,800
11,357.58,76.17,1773.56,customer,1,0,800
12,398.58,108.88,280.29,customer,1,0,800
13,381.38,74.46,0,customer,1,0,800
14,332.26,114.59,0,customer,1,0,800
15,386.65,108.32,1944.22,customer,1,0,800
16,387.24,113.62,254.74,customer,1,0,800
17,376.72,74.97,1384.27,customer,1,0,800
18,373.6,124.59,2742.67,customer,1,0,800
19,366.83,82.95,1304.69,customer,1,0,800
20,346.4,104.78,0,customer,1,0,800
21,387.12,113.66,0,customer,1,0,800
22,385.29,115.42,19.65,customer,1,0,800
23,396.45,92.49,0,customer,1,0,800
24,363.49,111.97,1450.54,customer,1,0,800
25,404.11,101.22,2575.31,customer,1,0,800
26,389.86,115.2,877.91,customer,1,0,800
27,368.7,102,1765.45,customer,1,0,800
28,382.74,110.65,1129.98,customer,1,0,800
29,369.13,80.72,419.75,customer,1,0,800
30,386.38,76.22,1228.37,customer,1,0,800
31,368.55,115.54,516.38,customer,1,0,800
32,368.38,102.84,1064.5,customer,1,0,800
33,362.59,104.2,2966.76,customer,1,0,800
34,387.37,117.62,202.7,customer,1,0,800
35,385.09,97.82,1439.29,customer,1,0,800
36,362.22,95.51,0,customer,1,0,800
37,387.14,126.83,2682.18,customer,1,0,800
38,379.97,91.61,0,customer,1,0,800
39,357.99,94.49,1336.88,customer,1,0,800
40,400.56,76.96,0,customer,1,0,800
41,360.23,104.63,0,customer,1,0,800
42,42.31,671.37,1163.44,customer,2,0,800
43,78.41,650.76,0,customer,2,0,800
44,88.98,688.78,2481.65,customer,2,0,800
45,69.04,645.22,1514.57,customer,2,0,800
46,88.9,633.7,1368.37,customer,2,0,800
47,81.26,656.61,0,customer,2,0,800
48,84.92,654.43,1069.04,customer,2,0,800
49,90.67,648.94,720.5,customer,2,0,800
50,84.75,665.76,2535.79,customer,2,0,800
51,89.2,656.48,370.38,customer,2,0,800
52,83.04,684.46,1623.98,customer,2,0,800
53,78.43,650.69,2638.3,customer,2,0,800
54,84.82,666.11,2775.86,customer,2,0,800
55,81.66,654.26,198.35,customer,2,0,800
56,71.99,671.46,609.03,customer,2,0,800
57,76.6,657.74,463.56,customer,2,0,800
58,97.02,632.77,2808.08,customer,2,0,800
59,99,660.85,2654.1,customer,2,0,800
60,78.55,661.88,2497.29,customer,2,0,800
61,74.43,653.63,1363.76,customer,2,0,800
62,71.37,659.87,2121.55,customer,2,0,800
