ID,X,Y,Request.time,Types,Membership,lower,upper
1,81.76,653.75,0,depot,0,0,800
2,642.92,15.28,0,depot,0,0,800
3,391.74,111.64,0,customer,1,0,800
4,367.14,114.56,1973.28,customer,1,0,800
5,407.7,111.05,0,customer,1,0,800
6,383.05,89.55,3010.05,customer,1,0,800
7,362.64,98.13,0,customer,1,0,800
8,387.79,85.41,0,customer,1,0,800
9,363.1,91.93,0,customer,1,0,800
10,365.19,97.63,1475.1,customer,1,0,800
11,357.58,76.17,0,customer,1,0,800
12,398.58,108.88,0,customer,1,0,800
13,381.38,74.46,179.68,customer,1,0,800
14,332.26,114.59,1898.59,customer,1,0,800
15,386.65,108.32,1433.91,customer,1,0,800
16,387.24,113.62,1641.36,customer,1,0,800
17,376.72,74.97,492.52,customer,1,0,800
18,373.6,124.59,855.19,customer,1,0,800
19,366.83,82.95,414.41,customer,1,0,800
20,346.4,104.78,1877.24,customer,1,0,800
21,387.12,113.66,1446.85,customer,1,0,800
22,385.29,115.42,98.38,customer,1,0,800
23,396.45,92.49,1103.08,customer,1,0,800
24,363.49,111.97,1737.04,customer,1,0,800
25,404.11,101.22,2121.51,customer,1,0,800
26,389.86,115.2,0,customer,1,0,800
27,368.7,102,435.97,customer,1,0,800
28,382.74,110.65,1028.17,customer,1,0,800
29,369.13,80.72,2011.7,customer,1,0,800
30,386.38,76.22,753.54,customer,1,0,800
31,368.55,115.54,0,customer,1,0,800
32,368.38,102.84,1660.79,customer,1,0,800
33,362.59,104.2,0,customer,1,0,800
34,387.37,117.62,136.88,customer,1,0,800
35,385.09,97.82,3001.94,customer,1,0,800
36,362.22,95.51,2616.8,customer,1,0,800
37,387.14,126.83,2651.38,customer,1,0,800
38,379.97,91.61,2623.23,customer,1,0,800
39,357.99,94.49,2931.68,customer,1,0,800
40,400.56,76.96,0,customer,1,0,800
41,360.23,104.63,1504.21,customer,1,0,800
42,42.31,671.37,0.28,customer,2,0,800
43,78.41,650.76,1810.85,customer,2,0,800
44,88.98,688.78,1693.11,customer,2,0,800
45,69.04,645.22,2874.88,customer,2,0,800
46,88.9,633.7,2193.79,customer,2,0,800
47,81.26,656.61,1581.58,customer,2,0,800
48,84.92,654.43,2947.29,customer,2,0,800
49,90.67,648.94,1121.2,customer,2,0,800
50,84.75,665.76,946.15,customer,2,0,800
51,89.2,656.48,2140.18,customer,2,0,800
52,83.04,684.46,0,customer,2,0,800
53,78.43,650.69,0,customer,2,0,800
54,84.82,666.11,1371.18,customer,2,0,800
55,81.66,654.26,679.12,customer,2,0,800
56,71.99,671.46,969.78,customer,2,0,800
57,76.6,657.74,1091.19,customer,2,0,800
58,97.02,632.77,2222.71,customer,2,0,800
59,99,660.85,2369.56,customer,2,0,800
60,78.55,661.88,0,customer,2,0,800
61,74.43,653.63,2169.25,customer,2,0,800
62,71.37,659.87,0,customer,2,0,800
