ID,X,Y,Request.time,Types,Membership,lower,upper
1,993.05,965.55,0,depot,0,0,1600
2,156.85,129.74,0,depot,0,0,1600
3,135.98,186.62,0,customer,1,0,1600
4,151.14,85.94,0,customer,1,0,1600
5,146.33,138.49,3577.33,customer,1,0,1600
6,176.19,142.99,3980.22,customer,1,0,1600
7,199.36,137.68,139.66,customer,1,0,1600
8,174.62,165.01,1809.99,customer,1,0,1600
9,151.14,102.53,4096.39,customer,1,0,1600
10,147.15,83.9,0,customer,1,0,1600
11,158.56,147.07,0,customer,1,0,1600
12,120.85,99.85,4754.72,customer,1,0,1600
13,118.74,128.35,956.52,customer,1,0,1600
14,205.56,107.99,1395.04,customer,1,0,1600
15,135.24,128.87,2675.92,customer,1,0,1600
16,123.31,164.64,0,customer,1,0,1600
17,146.47,168.63,0,customer,1,0,1600
18,178.84,157.08,1454.57,customer,1,0,1600
19,106,71.96,0,customer,1,0,1600
20,158.88,117.42,0,customer,1,0,1600
21,145.19,126.23,4379.7,customer,1,0,1600
22,211.89,113.87,3084.92,customer,1,0,1600
23,135.62,185.7,35.06,customer,1,0,1600
24,164.54,138.08,2159.51,customer,1,0,1600
25,112.33,155.51,1728.22,customer,1,0,1600
26,197.04,154.3,1680.45,customer,1,0,1600
27,117.33,179.61,1498.2,customer,1,0,1600
28,146.62,192.89,2416.21,customer,1,0,1600
29,172.83,144.06,751.05,customer,1,0,1600
30,225.89,171.29,0,customer,1,0,1600
31,172.69,102.72,2888.13,customer,1,0,1600
32,187.86,156.18,5299.45,customer,1,0,1600
33,139.21,122.21,3518.3,customer,1,0,1600
34,147.39,73.22,0,customer,1,0,1600
35,180.18,78.56,5346.26,customer,1,0,1600
36,168.73,76.57,5568.45,customer,1,0,1600
37,189.74,158.02,5525.46,customer,1,0,1600
38,221.24,88.97,3112.58,customer,1,0,1600
39,189.69,122.34,4862.39,customer,1,0,1600
40,164.28,115.5,0,customer,1,0,1600
41,171.13,91.53,2245.48,customer,1,0,1600
42,125.83,157.96,3347.53,customer,1,0,1600
43,57.62,120.37,0,customer,1,0,1600
44,141.59,155.41,948.6,customer,1,0,1600
45,171.66,83.18,825.94,customer,1,0,1600
46,207.84,166.04,0,customer,1,0,1600
47,206.29,96.29,4613.69,customer,1,0,1600
48,222.34,171.2,1175.7,customer,1,0,1600
49,196.63,88.13,3318.97,customer,1,0,1600
50,154.51,136.22,2789.15,customer,1,0,1600
51,109.8,122.82,0,customer,1,0,1600
52,183.59,140.57,2921.56,customer,1,0,1600
53,165.15,179.49,3281.06,customer,1,0,1600
54,130.91,157.01,850.84,customer,1,0,1600
