ID,X,Y,Request.time,Types,lower,upper
1,117.29,753.45,0,depot,0,1600
2,1360.28,1254.37,0,depot,0,1600
3,33.27,975.37,1148.79,customer,0,1600
4,608.72,1309.27,0,customer,0,1600
5,675.76,188.63,4755.78,customer,0,1600
6,306.28,1061.37,2727.43,customer,0,1600
7,1128.53,322.57,172.68,customer,0,1600
8,21.63,938.98,4989.61,customer,0,1600
9,1169.92,1112.11,0,customer,0,1600
10,692.36,845.26,4987.81,customer,0,1600
11,1169.98,591.23,2943.38,customer,0,1600
12,22.31,1117.56,5133.82,customer,0,1600
13,72.5,757.93,2688.75,customer,0,1600
14,669.46,369.29,4541.78,customer,0,1600
15,1030.14,726.62,0,customer,0,1600
16,351.67,126.71,0,customer,0,1600
17,1333.51,412.29,1964.91,customer,0,1600
18,1111.63,886.53,3149.92,customer,0,1600
19,1438.6,34.82,570.43,customer,0,1600
20,662.78,337.76,0,customer,0,1600
21,657.61,1018.23,3569.47,customer,0,1600
22,400.02,1147.16,1729.14,customer,0,1600
23,598.03,1242.98,1762.89,customer,0,1600
24,371.03,117.13,1625.31,customer,0,1600
25,1490.57,158,1327.19,customer,0,1600
26,762.15,1514.23,0,customer,0,1600
27,76.26,1489.41,1936.92,customer,0,1600
28,1237.65,1474.32,4143.45,customer,0,1600
29,529.79,1039.9,780.98,customer,0,1600
30,884.6,250.16,4911.79,customer,0,1600
31,1082.13,1456.23,3203.96,customer,0,1600
32,443.73,1475.3,2752.47,customer,0,1600
33,84.57,270.78,428.67,customer,0,1600
34,681.21,117.39,174,customer,0,1600
35,976.19,905.97,0,customer,0,1600
36,1561.67,584.65,3208.85,customer,0,1600
37,1551.68,736.27,0,customer,0,1600
38,141.58,743.58,731.76,customer,0,1600
39,797.41,1246.25,1660.76,customer,0,1600
40,633.1,1317.87,1215.91,customer,0,1600
41,624.53,451.77,0,customer,0,1600
42,509.6,1167.97,0,customer,0,1600
43,1092.12,793.55,3825.51,customer,0,1600
44,455.38,106.03,0,customer,0,1600
45,624.15,60.24,6166.19,customer,0,1600
46,1584.27,380.14,4942.16,customer,0,1600
47,1267.21,349.43,6121.9,customer,0,1600
48,499.85,675.82,3567.34,customer,0,1600
49,1307.39,879.6,0,customer,0,1600
50,353.46,1141.98,1775.17,customer,0,1600
51,801.72,383.99,4197.35,customer,0,1600
52,267.16,1433.09,0,customer,0,1600
53,191.45,772.2,904.78,customer,0,1600
54,1436.18,420.56,2473.92,customer,0,1600
55,149.94,511.87,2501.41,customer,0,1600
56,1384.09,1062.88,0,customer,0,1600
57,442.55,1164.88,5095.74,customer,0,1600
58,43.65,914.3,4635.24,customer,0,1600
59,1259.82,1405.91,742,customer,0,1600
60,573.86,654.73,2422.93,customer,0,1600
61,40.16,328.63,4414.74,customer,0,1600
62,1193.75,753.31,5072.4,customer,0,1600
63,47.4,607.05,4612.55,customer,0,1600
64,694.18,396.1,3700.59,customer,0,1600
65,410.6,1480.05,257.21,customer,0,1600
66,796.82,745.88,0,customer,0,1600
67,1045.37,22.31,3220.24,customer,0,1600
68,133.85,1509.16,2517.69,customer,0,1600
69,288.76,599.27,1795.25,customer,0,1600
70,167.14,12.87,4043,customer,0,1600
71,1299.83,1568.84,0,customer,0,1600
72,1004,604.06,56.39,customer,0,1600
73,1008.92,1577.39,0,customer,0,1600
74,625.42,223.39,0,customer,0,1600
75,691.61,899.55,0,customer,0,1600
76,557.81,1270.98,505.26,customer,0,1600
77,1269.69,310.24,0,customer,0,1600
78,1419.1,1137.12,0,customer,0,1600
79,1041.8,905.13,3563.05,customer,0,1600
80,948.58,16.19,1289.39,customer,0,1600
81,524.52,411.12,6207.86,customer,0,1600
82,121.1,753.57,4023.65,customer,0,1600
83,946.22,1482.98,0,customer,0,1600
84,285.34,1592.47,3448.52,customer,0,1600
85,1186.16,335.97,6207.53,customer,0,1600
86,470.2,872.3,0,customer,0,1600
87,1022.7,1032.63,4122.66,customer,0,1600
88,199.72,1441.77,4726.18,customer,0,1600
89,408.43,1171.71,4494.43,customer,0,1600
90,1312.92,975.54,0,customer,0,1600
91,1286.05,359,0,customer,0,1600
92,73.34,1465.87,0,customer,0,1600
93,1400.85,1284.42,291.99,customer,0,1600
94,204.81,499.85,3431.54,customer,0,1600
95,974.13,363.6,6165.28,customer,0,1600
96,751.31,1052.15,3802.49,customer,0,1600
97,891.67,1177.17,788.93,customer,0,1600
98,1168.63,744.15,4363.51,customer,0,1600
99,751.77,1381.77,5277.43,customer,0,1600
100,1581.78,1080,0,customer,0,1600
101,1575.47,258.35,365.29,customer,0,1600
102,629.26,19.34,927.74,customer,0,1600
103,974.16,1385.71,3949.77,customer,0,1600
104,552.77,161.14,3919.24,customer,0,1600
105,699.38,499.57,0,customer,0,1600
106,366.61,695.19,2341.96,customer,0,1600
107,9.72,985.21,1572.31,customer,0,1600
108,38.2,542.76,423.17,customer,0,1600
109,94.01,927.96,5604.73,customer,0,1600
110,1223.32,1327.48,0,customer,0,1600
111,750.47,535.39,4957.73,customer,0,1600
112,1361.33,611.23,18.47,customer,0,1600
113,930.75,969.1,0,customer,0,1600
114,299.02,793.18,1396.89,customer,0,1600
115,974.5,174.83,1028.01,customer,0,1600
116,1429.35,1353.49,2665.07,customer,0,1600
117,1270.91,713.37,4538.86,customer,0,1600
118,806.55,1200.6,4900.79,customer,0,1600
119,676.85,1272.86,1220.91,customer,0,1600
120,1047.01,625.12,4450.74,customer,0,1600
121,1420.38,23.76,0,customer,0,1600
122,1427.23,1189.46,2325.33,customer,0,1600
123,285.42,109.42,5119.34,customer,0,1600
124,412,851.23,2708.26,customer,0,1600
125,181.5,196.21,4419.36,customer,0,1600
126,1275.45,1081.23,1007.18,customer,0,1600
127,175.26,89.63,5665.2,customer,0,1600
128,1326.51,1276.82,1588.58,customer,0,1600
129,1233.67,1060.17,4782.52,customer,0,1600
130,1509.9,390.79,673.88,customer,0,1600
131,747.13,256.6,6116.93,customer,0,1600
132,1503.77,92.8,3453.2,customer,0,1600
133,1256.29,24.34,5729.53,customer,0,1600
134,1399.37,1333.37,3542.95,customer,0,1600
135,631.14,419,3501.01,customer,0,1600
136,159.52,88.66,4787.73,customer,0,1600
137,443.14,556.85,1999.56,customer,0,1600
138,1155.56,928.35,1799.64,customer,0,1600
139,570.09,1286.75,3324.24,customer,0,1600
140,612.34,544.43,5358.51,customer,0,1600
141,51.15,215.76,2790.38,customer,0,1600
142,834.31,1237.78,208.61,customer,0,1600
143,193.72,1403.58,3928.89,customer,0,1600
144,1416.29,1580.75,5915.37,customer,0,1600
145,119.43,1047.71,3981.97,customer,0,1600
146,1254.76,406.44,2294.56,customer,0,1600
147,1366.61,1026.33,1005.89,customer,0,1600
148,59.49,720.98,4132.6,customer,0,1600
149,440.23,315.14,2536.07,customer,0,1600
150,1027.31,969.9,4934.2,customer,0,1600
151,1256.13,1559.41,5341.42,customer,0,1600
152,640.1,318.68,933.72,customer,0,1600
153,1496.48,695.61,1626.18,customer,0,1600
154,624.83,543.26,5575.64,customer,0,1600
155,678.33,54.41,3029.44,customer,0,1600
156,458.27,158.72,3953.77,customer,0,1600
157,978.8,670.77,0,customer,0,1600
158,894.1,75.74,545.12,customer,0,1600
159,63.95,42.45,4274.48,customer,0,1600
160,1192.45,277.62,743.84,customer,0,1600
161,330.38,604.94,3856.85,customer,0,1600
162,1050.39,941.32,4202.56,customer,0,1600
163,835.86,538.29,2703.1,customer,0,1600
164,1013.5,791.28,121.94,customer,0,1600
165,988.1,1203.72,4004.96,customer,0,1600
166,455.83,270.5,2069.97,customer,0,1600
167,358.09,1349.81,1186.39,customer,0,1600
168,862.43,512.48,1363.87,customer,0,1600
169,1594.2,374.22,0,customer,0,1600
170,526.27,495.99,5455.6,customer,0,1600
171,517.34,1263.86,0,customer,0,1600
172,56.52,407.21,869.27,customer,0,1600
173,840.98,1476.52,3750.3,customer,0,1600
174,954.89,237.37,6080.47,customer,0,1600
175,1187.34,346.36,2960.08,customer,0,1600
176,1524.54,1001.75,1677.04,customer,0,1600
177,783.39,411.31,6205.31,customer,0,1600
178,133.26,1131.48,1082.4,customer,0,1600
179,415.88,1187.85,0,customer,0,1600
180,1399.75,419.77,0,customer,0,1600
181,1363.29,916.19,3098.89,customer,0,1600
182,1348.65,1465.04,2417.22,customer,0,1600
183,1515.05,1133.47,0,customer,0,1600
184,1044.29,1350.97,0,customer,0,1600
185,781.05,1471.91,1941.39,customer,0,1600
186,300.41,471.42,443.82,customer,0,1600
187,1140.85,1041.04,2476.6,customer,0,1600
188,136.11,226.83,4419.15,customer,0,1600
189,737.92,1365.65,4477.36,customer,0,1600
190,1497.45,1065.61,532.86,customer,0,1600
191,1352.47,1173.32,0,customer,0,1600
192,1145.9,503.58,1231.15,customer,0,1600
193,198.09,1068.35,1032.68,customer,0,1600
194,951.72,742.22,5787.29,customer,0,1600
195,1583.76,1040.45,2686.59,customer,0,1600
196,984.65,1257.24,0,customer,0,1600
197,436.92,1442.73,5623.93,customer,0,1600
198,101.93,843.85,254.5,customer,0,1600
199,115.69,252.97,0,customer,0,1600
200,1397.62,431.39,3614.97,customer,0,1600
201,580.52,215.26,5472.3,customer,0,1600
202,1513,380.09,0,customer,0,1600
203,893.31,1156.89,0,customer,0,1600
204,820.26,1003.4,1088.36,customer,0,1600
205,1516.43,723.78,6242.02,customer,0,1600
206,175.68,1014.89,4024.06,customer,0,1600
207,1310.25,847.2,4305.02,customer,0,1600
208,603.75,528.17,0,customer,0,1600
209,890.63,1233.18,2297.09,customer,0,1600
210,502.19,1015.98,6139.88,customer,0,1600
211,131.75,1238.98,5872.03,customer,0,1600
212,1247.9,286.16,4124.74,customer,0,1600
213,309.18,634.24,5656.3,customer,0,1600
214,1048.94,1540.35,424.25,customer,0,1600
215,696.24,603.7,5091.32,customer,0,1600
216,315.44,124.09,4576.81,customer,0,1600
217,1591.46,846.94,0,customer,0,1600
218,714.79,1519.56,1640.55,customer,0,1600
219,50.28,1369.78,885.7,customer,0,1600
220,1499.23,879.1,3828.93,customer,0,1600
221,1393.57,1063.93,4098.1,customer,0,1600
222,961.99,800.72,0,customer,0,1600
223,478.42,1478.52,6096.69,customer,0,1600
224,1294.95,147.08,2580.94,customer,0,1600
225,1523.43,795.13,1449.81,customer,0,1600
226,1363.29,1251.56,3605.03,customer,0,1600
227,203.7,1391.75,456.73,customer,0,1600
228,1550.21,1442.48,559.88,customer,0,1600
229,891.36,1298.21,6226.92,customer,0,1600
230,8.58,245.97,3598.01,customer,0,1600
231,217.22,1167.61,763.87,customer,0,1600
232,9.36,1215.2,5409.93,customer,0,1600
233,1307,1057.31,5002.66,customer,0,1600
234,1251.46,1452.86,644.22,customer,0,1600
235,1489.71,623.65,0,customer,0,1600
236,589.9,1531.17,2374.32,customer,0,1600
237,1559.13,730.54,3519.94,customer,0,1600
238,1317.99,312.01,41.92,customer,0,1600
239,1259.92,945.15,3584.85,customer,0,1600
240,996.52,248.64,0,customer,0,1600
241,1547.77,831.19,1988.71,customer,0,1600
242,799.87,660.54,2931.59,customer,0,1600
243,1429.91,1323.55,1051.09,customer,0,1600
244,641.67,900.95,4628.4,customer,0,1600
245,716.07,730.36,2223.98,customer,0,1600
246,1497.25,307.76,5527.49,customer,0,1600
247,1093.33,755.11,2435.15,customer,0,1600
248,29.06,372,4657.87,customer,0,1600
249,264.84,502.53,0,customer,0,1600
250,793.34,1386.96,4625.47,customer,0,1600
