ID,X,Y,Request.time,Types,Membership,lower,upper
1,216.96,195.13,0,depot,0,0,800
2,741.27,384.31,0,depot,0,0,800
3,314.88,656.02,913.1,customer,1,0,800
4,347.48,642.66,0,customer,1,0,800
5,345.35,651.28,0,customer,1,0,800
6,311.36,669.48,2750.5,customer,1,0,800
7,343.11,677.7,3057.64,customer,1,0,800
8,340.99,659.01,3070.52,customer,1,0,800
9,355.33,652.92,2923.92,customer,1,0,800
10,330.51,654.57,0,customer,1,0,800
11,343.35,653.88,0,customer,1,0,800
12,341.9,637.51,1165.09,customer,1,0,800
13,319.79,664.21,0,customer,1,0,800
14,334.82,648.88,259.7,customer,1,0,800
15,353.33,672.33,1853.95,customer,1,0,800
16,333.16,664.23,1972.3,customer,1,0,800
17,327.7,678.48,218.61,customer,1,0,800
18,337.55,628.77,0,customer,1,0,800
19,332.32,658.91,0,customer,1,0,800
20,316.11,653.97,0,customer,1,0,800
21,358.34,698.84,0,customer,1,0,800
22,348.66,652.81,1828.16,customer,1,0,800
23,347.16,670.5,0,customer,1,0,800
24,358.98,649.64,1362.63,customer,1,0,800
25,345.53,700.14,365.83,customer,1,0,800
26,299.36,673.24,1673.65,customer,1,0,800
27,352.25,667.23,0,customer,1,0,800
28,340.7,648.02,2490.82,customer,1,0,800
29,320.47,643.84,0,customer,1,0,800
30,305.27,666.36,196.24,customer,1,0,800
31,333.54,659.22,2169.39,customer,1,0,800
32,334.25,653.28,2442.68,customer,1,0,800
33,359.17,665.2,2305.77,customer,1,0,800
34,331.51,643.3,0,customer,1,0,800
35,316.66,648.09,1813.66,customer,1,0,800
36,339.09,673.83,2223.76,customer,1,0,800
37,323.08,646.69,317.68,customer,1,0,800
38,320.54,642.93,2094.58,customer,1,0,800
39,333.52,678.59,203.58,customer,1,0,800
40,291.56,658.45,0,customer,1,0,800
41,352.08,647.49,0,customer,1,0,800
42,330.16,671.95,2626.96,customer,1,0,800
43,337.47,664.78,1567.47,customer,1,0,800
44,296.5,653.32,1326.07,customer,1,0,800
45,328.92,676.06,0,customer,1,0,800
46,336.75,671.38,67.82,customer,1,0,800
47,345.03,637.28,1996.17,customer,1,0,800
48,340.2,667.52,0,customer,1,0,800
49,311.9,627.43,1057.89,customer,1,0,800
50,335.6,666.74,1568.07,customer,1,0,800
51,321.14,675.5,3080.51,customer,1,0,800
52,310.69,689.6,1096.02,customer,1,0,800
53,341.33,682.7,3035.43,customer,1,0,800
54,344.44,665.01,1591.46,customer,1,0,800
55,337.89,679.54,2304.74,customer,1,0,800
56,349.05,663.57,2223.6,customer,1,0,800
57,363.52,643.4,1835.23,customer,1,0,800
58,311.69,697.66,1632.96,customer,1,0,800
59,319.57,684.26,1275.77,customer,1,0,800
60,344.52,653.04,0,customer,1,0,800
61,332.05,653.46,2187.11,customer,1,0,800
62,333.35,652.01,2547.75,customer,1,0,800
63,315.23,670.3,403.2,customer,1,0,800
64,327.29,656.8,0,customer,1,0,800
65,326.44,665.03,0,customer,1,0,800
66,316.69,664.8,0,customer,1,0,800
67,323.81,656.17,2567.13,customer,1,0,800
68,324.2,660.58,579.31,customer,1,0,800
69,338.63,646.35,819.21,customer,1,0,800
70,323.01,657.68,1341.25,customer,1,0,800
71,307.15,657.82,358.25,customer,1,0,800
72,357.35,654.08,1228.64,customer,1,0,800
73,331.22,642.67,314.59,customer,1,0,800
74,326.68,667.67,318.12,customer,1,0,800
75,343.97,662.13,1927.28,customer,1,0,800
76,328.21,641.5,0,customer,1,0,800
77,331.62,664.46,0,customer,1,0,800
78,325.98,674.31,1717.27,customer,1,0,800
79,335.39,644.94,890.88,customer,1,0,800
80,326.19,649.92,2218.96,customer,1,0,800
81,312.25,642.17,0,customer,1,0,800
82,211.39,183.36,2357.41,customer,2,0,800
83,219.31,164.88,662.9,customer,2,0,800
84,195.32,216.86,1585.59,customer,2,0,800
85,211.28,199.22,1250.55,customer,2,0,800
86,229.63,193.99,0,customer,2,0,800
87,236.43,208.08,0,customer,2,0,800
88,249.36,209.37,204.24,customer,2,0,800
89,247.54,195.64,2238.95,customer,2,0,800
90,198.61,212.15,2601.8,customer,2,0,800
91,212.11,202.77,2641.39,customer,2,0,800
92,244.58,207.79,558.41,customer,2,0,800
93,193.22,219.05,2246.34,customer,2,0,800
94,228.64,193.5,374.12,customer,2,0,800
95,206.32,194.53,0,customer,2,0,800
96,196.44,159.64,1888.27,customer,2,0,800
97,204.59,194.58,1037.33,customer,2,0,800
98,197.52,159.71,0,customer,2,0,800
99,226.27,182.77,387.99,customer,2,0,800
100,217.69,156.97,1175.68,customer,2,0,800
101,229.57,180.62,2979.91,customer,2,0,800
102,236.03,196.18,2107.8,customer,2,0,800
103,220.32,199.84,98.02,customer,2,0,800
104,215.27,205.44,1114.61,customer,2,0,800
105,247.28,200.04,897.48,customer,2,0,800
106,214.92,191.77,0,customer,2,0,800
107,198.05,197.91,1770.12,customer,2,0,800
108,194.63,177.82,56.67,customer,2,0,800
109,239.36,170.82,633.74,customer,2,0,800
110,250.72,206.25,2775.1,customer,2,0,800
111,244.92,202.3,262.1,customer,2,0,800
112,213.98,221.9,1524.79,customer,2,0,800
113,217.28,188.46,600.68,customer,2,0,800
114,207.77,186.49,208.32,customer,2,0,800
115,224.07,201.39,2534.92,customer,2,0,800
116,217.98,166.21,872.62,customer,2,0,800
117,199.26,159.25,1171.01,customer,2,0,800
118,197.62,224.42,0,customer,2,0,800
119,241.07,183.64,2703.72,customer,2,0,800
120,236.72,192.96,0,customer,2,0,800
121,214.1,211.82,985.45,customer,2,0,800
122,214.91,214.28,2016.97,customer,2,0,800
123,221.6,179.56,258.04,customer,2,0,800
124,223.39,194.55,126.05,customer,2,0,800
125,208.78,191.86,748.19,customer,2,0,800
126,217.11,205.08,0,customer,2,0,800
127,218.08,198.44,0,customer,2,0,800
128,196.76,192.16,422.7,customer,2,0,800
129,215.26,189.42,1563.25,customer,2,0,800
130,210.57,195.3,48.85,customer,2,0,800
131,216.99,202.66,0,customer,2,0,800
132,239.76,191.66,0,customer,2,0,800
133,212.75,228.58,41.37,customer,2,0,800
134,210.48,186.35,1414.77,customer,2,0,800
135,225.06,192.94,174.32,customer,2,0,800
136,224.57,207.39,1171.65,customer,2,0,800
137,261.26,214.61,115.62,customer,2,0,800
138,231.89,199.99,439.77,customer,2,0,800
139,210.65,195.93,0,customer,2,0,800
140,200.62,208.01,2510.44,customer,2,0,800
141,226.96,215.49,0,customer,2,0,800
142,201.1,190.99,299.91,customer,2,0,800
143,201.53,191.8,1153.91,customer,2,0,800
144,220.32,208.29,0,customer,2,0,800
145,221.7,185.31,171.53,customer,2,0,800
146,215.54,179.9,0,customer,2,0,800
147,223.41,204.17,98.98,customer,2,0,800
148,197.12,207.25,2054.57,customer,2,0,800
149,231.77,205.46,0,customer,2,0,800
150,230.87,180.2,271.43,customer,2,0,800
151,202.81,216.14,70.62,customer,2,0,800
152,228.49,190.29,1923.78,customer,2,0,800
