ID,X,Y,Request.time,Types,lower,upper
1,241.4,54.97,0,depot,0,400
2,115.52,321.59,0,depot,0,400
3,202.68,262.43,1116.26,customers,0,400
4,210.42,253.6,0,customers,0,400
5,189.2,350.83,0,customers,0,400
6,218.01,82.93,1558.13,customers,0,400
7,293.77,188.68,109.85,customers,0,400
8,37.86,61.01,913.23,customers,0,400
9,134.39,342.39,857.79,customers,0,400
10,320.33,163.91,272.37,customers,0,400
11,328.69,249.62,0,customers,0,400
12,86.68,76.16,320.14,customers,0,400
13,107.9,143.85,0,customers,0,400
14,334.45,255.17,1205.11,customers,0,400
15,304.19,16.67,471.03,customers,0,400
16,116.94,330.79,283.77,customers,0,400
17,61.1,113.05,1246.67,customers,0,400
18,301.94,167.2,128,customers,0,400
19,51.79,109.31,1345.13,customers,0,400
20,35.26,53.7,1556.43,customers,0,400
21,373.27,204.86,449.77,customers,0,400
22,59.63,303.25,0,customers,0,400
23,132.06,359.67,985.16,customers,0,400
24,314.39,6.83,0,customers,0,400
25,236.47,362.31,831.09,customers,0,400
26,94.78,111.98,1435.41,customers,0,400
27,262.54,350.06,901.53,customers,0,400
28,329.56,243.78,702.11,customers,0,400
29,100.5,146.61,0,customers,0,400
30,202.9,325.06,0,customers,0,400
31,267.85,13.32,954.65,customers,0,400
32,245.6,304.28,0,customers,0,400
33,259.73,95.89,0,customers,0,400
34,364.57,274.2,526.65,customers,0,400
35,191.53,259.79,1513.17,customers,0,400
36,53.12,102.7,0,customers,0,400
37,216.11,315.87,812.88,customers,0,400
38,79.25,63.09,452.34,customers,0,400
39,198.44,330.2,1366.47,customers,0,400
40,125.18,102.36,0,customers,0,400
41,369.05,258.22,348.34,customers,0,400
42,190.11,353.75,1380.6,customers,0,400
43,80.06,61.19,870.4,customers,0,400
44,244.58,339.01,419.35,customers,0,400
45,79.5,329.19,374.28,customers,0,400
46,366.57,167.36,513.87,customers,0,400
47,228.1,80.86,1086.29,customers,0,400
48,64.01,83.77,0,customers,0,400
49,276.84,215.38,0,customers,0,400
50,360.06,275.99,696.14,customers,0,400
51,291.14,202.59,1204.07,customers,0,400
