1,30,66.64,0
2,74.43,47.72,0
3,28.76,26.6,102.92
4,78.83,85.78,279.65
5,40.9,4.58,105.53
6,88.3,44.22,106.35
7,94.05,79.89,199.91
8,4.56,12.19,242.73
9,52.81,56.09,141.36
10,89.24,20.65,88.06
11,55.14,12.75,0
12,45.66,75.33,0
13,95.68,89.5,0
14,45.33,37.45,0
15,67.76,66.51,0
16,57.26,9.48,0
17,10.29,38.4,73.21
18,89.98,27.44,201.02
19,24.61,81.46,0
20,4.21,44.85,136.18
21,32.79,81.01,14.98
22,95.45,81.24,31.04
23,88.95,79.43,161.26
24,69.28,43.98,258.38
25,64.05,75.45,68.57
26,99.43,62.92,0
27,65.57,71.02,126.4
28,70.85,0.06,286.23
29,54.41,47.53,183.12
30,59.41,22.01,18.22
31,28.92,37.98,62.56
32,14.71,61.28,201.65
33,96.3,35.18,0
34,90.23,11.11,14.51
35,69.07,24.36,193.93
36,79.55,66.81,302.5
37,2.46,41.76,0
38,47.78,78.82,1.78
39,75.85,10.29,0
40,21.64,43.49,38.18
41,31.82,98.5,166.93
42,23.16,89.31,318.57
43,14.28,88.65,23.36
44,41.45,17.51,278.33
45,41.37,13.07,279.75
46,36.88,65.31,93.74
47,15.24,34.35,0
48,13.88,65.68,224.94
49,23.3,32.04,24.66
50,46.6,18.77,313.43
