1,39.25,62.81,0
2,91.77,30.96,0
3,53.88,11.56,329.01
4,44.63,85.43,385.81
5,61.97,1.15,301.69
6,87.44,32.89,294.69
7,97.17,45.28,0
8,1.32,40.34,0
9,52.85,57.8,66.18
10,87.92,18.8,62.63
11,63.54,7.13,241.77
12,41.68,74.48,0
13,49,87.98,0
14,42.73,51.91,309.69
15,54.32,61.97,0
16,64.17,5.36,61.71
17,5.84,46.76,0
18,91.18,22.56,0
19,26.13,82.49,0
20,4.11,46.53,0
21,32.42,82.72,0
22,98.86,35.6,184.27
23,96.52,37.86,0
24,73.2,16.33,0
25,47.8,71.39,248.94
26,99.86,35.49,0
27,52.58,63.59,338.07
28,70.76,0.02,397.4
29,46.03,53.93,0
30,63.64,12.68,0
31,21.51,42.46,0
32,8,60.92,0
33,97.54,28.13,217.57
34,95.03,13.64,0
35,69.54,10.79,0
36,60.61,61.59,232.59
37,0.62,49.72,173.3
38,39.86,76.34,0
39,77.35,3.52,58.77
40,16.16,46.91,0
41,26.74,96.35,24.65
42,25.42,89.37,242.57
43,20,86.82,0
44,64.12,4.95,0
45,56.62,6.95,296.47
46,33.14,67.13,34.13
47,9.07,43.87,0
48,23.93,78.2,92.42
49,9.4,47.61,110.43
50,60.95,8.33,57.73
