1,75.77,94.41,0
2,35.2,21.19,0
3,65.24,100,353.78
4,77.95,92.22,37.25
5,76.4,100,0
6,69.38,87.55,145.56
7,70.1,79.9,346.17
8,83.27,96.17,17.3
9,77.66,94.01,0
10,71.1,86.87,297.53
11,83.56,81.36,297.82
12,79.8,87.15,209.85
13,78.35,87.63,71.03
14,70.98,100,0
15,81.88,74.78,0
16,76.92,90.27,105.21
17,65.37,96.32,151.16
18,76.96,91.4,3.71
19,93.82,73.83,185.83
20,83.44,91.76,0
21,81.77,90.25,124.56
22,70.33,78.76,288.64
23,73.85,100,262.4
24,84.82,100,0
25,84.14,100,0
26,84.03,98.75,228.28
27,29.87,16.31,238.55
28,20.56,21.13,307.74
29,43.43,30.63,0
30,36.07,16.18,75.96
31,65.31,27.93,11.29
32,48.2,18.1,365.08
33,34.86,25.29,63.9
34,50.54,18.34,255.25
35,43.01,2.02,194.72
36,30.56,9.37,0
37,45.39,19.68,0
38,31.63,33.71,93.82
39,45.42,12.97,71.07
40,39.12,9.95,12.15
41,30.85,35.98,344.49
42,48.47,31.33,67.35
43,29.98,3.97,0
44,24.45,29.9,0
45,32.55,1.4,110.98
46,33.56,34.09,170.56
47,41.09,13.67,28.15
48,21.06,13.63,195.56
49,35.52,29.31,355.97
50,17.46,30.55,49.83
